"","ward","year","schools","dcpsSchools","charterSchools","students","dcpsStudents","charterStudents"
"1","Ward 1",2001,24,15,9,8881,6850,2031
"2","Ward 1",2002,24,15,9,8509,6159,2350
"3","Ward 1",2003,25,15,10,8875,6045,2830
"4","Ward 1",2004,31,15,16,8984,5713,3271
"5","Ward 1",2005,35,16,19,9045,5714,3331
"6","Ward 1",2006,38,15,23,9594,5687,3907
"7","Ward 1",2007,38,14,24,9809,5530,4279
"8","Ward 1",2008,32,11,21,9583,5157,4426
"9","Ward 1",2009,28,11,17,10142,5109,5033
"10","Ward 1",2010,27,11,16,9648,4565,5083
"11","Ward 1",2011,29,12,17,10910,5286,5624
"12","Ward 1",2012,31,12,19,11342,5407,5935
"13","Ward 1",2013,31,11,20,12132,5522,6610
"14","Ward 2",2001,11,9,2,3188,2923,265
"15","Ward 2",2002,10,8,2,2915,2680,235
"16","Ward 2",2003,11,9,2,3126,2870,256
"17","Ward 2",2004,12,9,3,3127,2711,416
"18","Ward 2",2005,12,8,4,2819,2238,581
"19","Ward 2",2006,13,8,5,2991,2338,653
"20","Ward 2",2007,10,7,3,2175,1833,342
"21","Ward 2",2008,10,7,3,2350,1949,401
"22","Ward 2",2009,11,8,3,3030,2579,451
"23","Ward 2",2010,10,8,2,3146,2743,403
"24","Ward 2",2011,10,8,2,3143,2718,425
"25","Ward 2",2012,10,8,2,3472,2721,751
"26","Ward 2",2013,10,8,2,3502,2845,657
"27","Ward 3",2001,11,11,0,5056,5056,0
"28","Ward 3",2002,11,11,0,5017,5017,0
"29","Ward 3",2003,11,11,0,4994,4994,0
"30","Ward 3",2004,11,10,1,5076,4863,213
"31","Ward 3",2005,11,10,1,5001,4900,101
"32","Ward 3",2006,12,10,2,5069,4891,178
"33","Ward 3",2007,12,10,2,5082,4775,307
"34","Ward 3",2008,11,10,1,4977,4772,205
"35","Ward 3",2009,10,10,0,5130,5130,0
"36","Ward 3",2010,10,10,0,5463,5463,0
"37","Ward 3",2011,10,10,0,5843,5843,0
"38","Ward 3",2012,10,10,0,6144,6144,0
"39","Ward 3",2013,10,10,0,6339,6339,0
"40","Ward 4",2001,27,20,7,10080,8522,1558
"41","Ward 4",2002,28,21,7,9968,8497,1471
"42","Ward 4",2003,29,21,8,10046,8075,1971
"43","Ward 4",2004,28,21,7,9290,7594,1696
