Comparison tables data dictionary,,
"Prepared by NeighborhoodInfo DC (revised      July 6, 2016).",,
Notes: i = Insufficient data; s = Suppressed proprietary or confidential data.,,
,,
Tab=Population,,
Col #,Name,Description
1,-,"Geographic area identifier (ward, cluster, etc.)"
2,TotPop_1980,"Population, 1980"
3,TotPop_1990,"Population, 1990"
4,TotPop_2000,"Population, 2000"
5,TotPop_2010,"Population, 2010"
6,PctChgTotPop_1980_1990,"% change population, 1980 to 1990"
7,PctChgTotPop_1990_2000,"% change population, 1990 to 2000"
8,PctChgTotPop_2000_2010,"% change population, 2000 to 2010"
9,PctPopUnder18Years_1980,"% children, 1980"
10,PctPopUnder18Years_1990,"% children, 1990"
11,PctPopUnder18Years_2000,"% children, 2000"
12,PctPopUnder18Years_2010,"% children, 2010"
13,PctChgPopUnder18Years_1980_1990,"% change child population, 1980 to 1990"
14,PctChgPopUnder18Years_1990_2000,"% change child population, 1990 to 2000"
15,PctChgPopUnder18Yea_2000_2010,"% change child population, 2000 to 2010"
16,PctPop65andOverYears_1980,"% seniors, 1980"
17,PctPop65andOverYears_1990,"% seniors, 1990"
18,PctPop65andOverYears_2000,"% seniors, 2000"
19,PctPop65andOverYears_2010,"% seniors, 2010"
20,PctChgPop65andOverYear_1980_1990,"% change senior population, 1980 to 1990"
21,PctChgPop65andOverYear_1990_2000,"% change senior population, 1990 to 2000"
22,PctChgPop65andOverYear_2000_2010,"% change senior population, 2000 to 2010"
23,PctBlackNonHispBridge_1990,"% black non-Hispanic, 1990"
24,PctBlackNonHispBridge_2000,"% black non-Hispanic, 2000"
25,PctBlackNonHispBridge_2010,"% black non-Hispanic, 2010"
26,PctWhiteNonHispBridge_1990,"% white non-Hispanic, 1990"
27,PctWhiteNonHispBridge_2000,"% white non-Hispanic, 2000"
28,PctWhiteNonHispBridge_2010,"% white non-Hispanic, 2010"
29,PctHisp_1990,"% Hispanic, 1990"
30,PctHisp_2000,"% Hispanic, 2000"
31,PctHisp_2010,"% Hispanic, 2010"
32,PctAsianPINonHispBridge_1990,"% Asian/P.I. non-Hispanic, 1990"
33,PctAsianPINonHispBridge_2000,"% Asian/P.I. non-Hispanic, 2000"
34,PctAsianPINonHispBridge_2010,"% Asian/P.I. non-Hispanic, 2010"
35,PctForeignBorn_1980,"% foreign born, 1980"
36,PctForeignBorn_1990,"% foreign born, 1990"
37,PctForeignBorn_2000,"% foreign born, 2000"
38,PctForeignBorn_2010_14,"% foreign born, 2010-14"
39,PctFamiliesOwnChildrenFH_1990,"% female-headed families with children, 1990"
40,PctFamiliesOwnChildrenFH_2000,"% female-headed families with children, 2000"
41,PctFamiliesOwnChildrenFH_2010_14,"% female-headed families with children, 2010-14"
42,Pct_births_low_wt_1998,"% low weight births (under 5.5 lbs), 1998"
43,Pct_births_low_wt_1999,"% low weight births (under 5.5 lbs), 1999"
44,Pct_births_low_wt_2000,"% low weight births (under 5.5 lbs), 2000"
45,Pct_births_low_wt_2001,"% low weight births (under 5.5 lbs), 2001"
46,Pct_births_low_wt_2002,"% low weight births (under 5.5 lbs), 2002"
47,Pct_births_low_wt_2003,"% low weight births (under 5.5 lbs), 2003"
48,Pct_births_low_wt_2004,"% low weight births (under 5.5 lbs), 2004"
49,Pct_births_low_wt_2005,"% low weight births (under 5.5 lbs), 2005"
50,Pct_births_low_wt_2006,"% low weight births (under 5.5 lbs), 2006"
51,Pct_births_low_wt_2007,"% low weight births (under 5.5 lbs), 2007"
52,Pct_births_low_wt_2008,"% low weight births (under 5.5 lbs), 2008"
53,Pct_births_low_wt_2009,"% low weight births (under 5.5 lbs), 2009"
54,Pct_births_low_wt_2010,"% low weight births (under 5.5 lbs), 2010"
55,Pct_births_low_wt_2011,"% low weight births (under 5.5 lbs), 2011"
56,Pct_births_teen_1998,"% births to teen mothers, 1998"
57,Pct_births_teen_1999,"% births to teen mothers, 1999"
58,Pct_births_teen_2000,"% births to teen mothers, 2000"
59,Pct_births_teen_2001,"% births to teen mothers, 2001"
60,Pct_births_teen_2002,"% births to teen mothers, 2002"
61,Pct_births_teen_2003,"% births to teen mothers, 2003"
62,Pct_births_teen_2004,"% births to teen mothers, 2004"
63,Pct_births_teen_2005,"% births to teen mothers, 2005"
64,Pct_births_teen_2006,"% births to teen mothers, 2006"
65,Pct_births_teen_2007,"% births to teen mothers, 2007"
66,Pct_births_teen_2008,"% births to teen mothers, 2008"
67,Pct_births_teen_2009,"% births to teen mothers, 2009"
68,Pct_births_teen_2010,"% births to teen mothers, 2010"
69,Pct_births_teen_2011,"% births to teen mothers, 2011"
,,
Tab=Well-Being,,
Col #,Name,Description
1,-,"Geographic area identifier (ward, cluster, etc.)"
2,PctPoorPersons_1980,"Poverty rate (%), 1980"
3,PctPoorPersons_1990,"Poverty rate (%), 1990"
4,PctPoorPersons_2000,"Poverty rate (%), 2000"
5,PctPoorPersons_2010_14,"Poverty rate (%), 2010-14"
6,PctPoorChildren_1990,"% children in poverty, 1990"
7,PctPoorChildren_2000,"% children in poverty, 2000"
8,PctPoorChildren_2010_14,"% children in poverty, 2010-14"
9,PctPoorElderly_1990,"% seniors in poverty, 1990"
10,PctPoorElderly_2000,"% seniors in poverty, 2000"
11,PctPoorElderly_2010_14,"% seniors in poverty, 2010-14"
12,PctUnemployed_1980,"Unemployment rate (%), 1980"
13,PctUnemployed_1990,"Unemployment rate (%), 1990"
14,PctUnemployed_2000,"Unemployment rate (%), 2000"
15,PctUnemployed_2010_14,"Unemployment rate (%), 2010-14"
16,Pct16andOverEmployed_1980,"% pop. 16+ yrs. employed, 1980"
17,Pct16andOverEmployed_1990,"% pop. 16+ yrs. employed, 1990"
18,Pct16andOverEmployed_2000,"% pop. 16+ yrs. employed, 2000"
19,Pct16andOverEmployed_2010_14,"% pop. 16+ yrs. employed, 2010-14"
20,Pct25andOverWoutHS_1980,"% persons without HS diploma, 1980"
21,Pct25andOverWoutHS_1990,"% persons without HS diploma, 1990"
22,Pct25andOverWoutHS_2000,"% persons without HS diploma, 2000"
23,Pct25andOverWoutHS_2010_14,"% persons without HS diploma, 2010-14"
24,PctHshldPhone_2000,"% HHs with a phone, 2000"
25,PctHshldPhone_2010_14,"% HHs with a phone, 2010-14"
26,PctHshldCar_2000,"% HHs with a car, 2000"
27,PctHshldCar_2010_14,"% HHs with a car, 2010-14"
28,AvgFamilyIncAdj_1980,"Avg. family income, 1979"
29,AvgFamilyIncAdj_1990,"Avg. family income, 1989"
30,AvgFamilyIncAdj_2000,"Avg. family income, 1999"
31,AvgFamilyIncAdj_2010_14,"Avg. family income, 2010-14"
32,PctChgAvgFamilyIncAdj_1980_1990,"% change in avg. family income, 1980 to 1990"
33,PctChgAvgFamilyIncAdj_1990_2000,"% change in avg. family income, 1990 to 2000"
34,PctChgAvgFamilyIncA_2000_2010_14,"% change in avg. family income, 2000 to 2010-14"
35,fs_client_2000,"Persons receiving food stamps, 2000"
36,fs_client_2001,"Persons receiving food stamps, 2001"
37,fs_client_2002,"Persons receiving food stamps, 2002"
38,fs_client_2003,"Persons receiving food stamps, 2003"
39,fs_client_2004,"Persons receiving food stamps, 2004"
40,fs_client_2005,"Persons receiving food stamps, 2005"
41,fs_client_2006,"Persons receiving food stamps, 2006"
42,fs_client_2007,"Persons receiving food stamps, 2007"
43,fs_client_2008,"Persons receiving food stamps, 2008"
44,fs_client_2009,"Persons receiving food stamps, 2009"
45,fs_client_2010,"Persons receiving food stamps, 2010"
46,fs_client_2011,"Persons receiving food stamps, 2011"
47,fs_client_2012,"Persons receiving food stamps, 2012"
48,fs_client_2013,"Persons receiving food stamps, 2013"
49,fs_client_2014,"Persons receiving food stamps, 2014"
50,fs_client_2015,"Persons receiving food stamps, 2015"
51,tanf_client_2000,"Persons receiving TANF, 2000"
52,tanf_client_2001,"Persons receiving TANF, 2001"
53,tanf_client_2002,"Persons receiving TANF, 2002"
54,tanf_client_2003,"Persons receiving TANF, 2003"
55,tanf_client_2004,"Persons receiving TANF, 2004"
56,tanf_client_2005,"Persons receiving TANF, 2005"
57,tanf_client_2006,"Persons receiving TANF, 2006"
58,tanf_client_2007,"Persons receiving TANF, 2007"
59,tanf_client_2008,"Persons receiving TANF, 2008"
60,tanf_client_2009,"Persons receiving TANF, 2009"
61,tanf_client_2010,"Persons receiving TANF, 2010"
62,tanf_client_2011,"Persons receiving TANF, 2011"
63,tanf_client_2012,"Persons receiving TANF, 2012"
64,tanf_client_2013,"Persons receiving TANF, 2013"
65,tanf_client_2014,"Persons receiving TANF, 2014"
66,tanf_client_2015,"Persons receiving TANF, 2015"
67,Rate_crimes_pt1_violent_2000,"Violent crimes, 2000"
68,Rate_crimes_pt1_violent_2001,"Violent crimes, 2001"
69,Rate_crimes_pt1_violent_2002,"Violent crimes, 2002"
70,Rate_crimes_pt1_violent_2003,"Violent crimes, 2003"
71,Rate_crimes_pt1_violent_2004,"Violent crimes, 2004"
72,Rate_crimes_pt1_violent_2005,"Violent crimes, 2005"
73,Rate_crimes_pt1_violent_2006,"Violent crimes, 2006"
74,Rate_crimes_pt1_violent_2007,"Violent crimes, 2007"
75,Rate_crimes_pt1_violent_2008,"Violent crimes, 2008"
76,Rate_crimes_pt1_violent_2009,"Violent crimes, 2009"
77,Rate_crimes_pt1_violent_2010,"Violent crimes, 2010"
78,Rate_crimes_pt1_violent_2011,"Violent crimes, 2011"
79,Rate_crimes_pt1_violent_2012,"Violent crimes, 2012"
80,Rate_crimes_pt1_violent_2013,"Violent crimes, 2013"
81,Rate_crimes_pt1_violent_2014,"Violent crimes, 2014"
82,Rate_crimes_pt1_violent_2015,"Violent crimes, 2015"
83,Rate_crimes_pt1_property_2000,"Property crimes, 2000"
84,Rate_crimes_pt1_property_2001,"Property crimes, 2001"
85,Rate_crimes_pt1_property_2002,"Property crimes, 2002"
86,Rate_crimes_pt1_property_2003,"Property crimes, 2003"
87,Rate_crimes_pt1_property_2004,"Property crimes, 2004"
